details,date,description,man_hours,type,location_name,grid_ref
Incident Report #54 2022,"Tuesday, 12 July, 2022 - 00:33","Flashing lights were reported in the Helm Crag area by holiday home occupants

Further investigation identified that the lights were moving steadily downhill so we left our late-night wanderers to their own devices",3 team members for 1 hour,Fellwalking,Helm Crag,NY326093
Incident Report #53 2022,"Monday, 11 July, 2022 - 23:07",A man was reported overdue at his campsite. Enquiries were made but no further action was taken,3 team members for 3 hours,Fellwalking,Langdale Pike area,NY281075
Incident Report #52 2022,"Saturday, 9 July, 2022 - 18:05",A further competitor in the same event also collapsed with dehydration and exhaustion. Treated by event medics and evacuated by the team,6 team members for 2 hours,Fellrunning,Ivy Crag,NY352040
Incident Report #51 2022,"Saturday, 9 July, 2022 - 15:20","A male competitor in an organised event collapsed, suffering from dehydration on a very hot day. He was initally treated by event medics then evacuated by the team",8 team member for 2 hours,Fellrunning,Ivy Crag,NY356043
Incident Report #50 2022,"Tuesday, 5 July, 2022 - 07:30",Team members assisted with a prolonged search in the Central Fells,3 team members for 7 hours,Fellwalking,Central Fells,NY246067
Incident Report #49 2022,"Saturday, 2 July, 2022 - 19:01",A woman was pulled over by her dog and suffered cuts to her face from her glasses. She was able to make slow progress and a small group of team members went up to meet them,5 team members for 6 hours,Fellwalking,Esk Pike,NY237074
Incident Report #48 2022,"Friday, 1 July, 2022 - 11:18","A man fell from Jack's Rake, sustaining fatal injuries. He was recovered to the valley bottom and his companions were assisted off the hill

 

We were assisted by Kendal MRT",12 team members for 8 hours plus Kendal MRT,Scrambling,Jack's Rake,NY285078
Incident Report #47 2022,"Sunday, 26 June, 2022 - 17:07",We were asked to assist Wasdale MRT with retrieving a group who had got lost and were coming off into Langdale. There were located and assisted down,5 team members for 2 hours,Fellwalking,Wasdale,NY234083
Incident Report #46 2022,"Saturday, 25 June, 2022 - 20:50",A man was reported as collapsed and unconscious. He was treated and evacuated to a waiting ambulance,"10 team members for 2 hours, plus Kendal MRT",Fellwalking,Wansfell,NY3883004288
Incident Report #45 2022,"Saturday, 25 June, 2022 - 13:56",A woman slipped and injured her right leg. She was treated and evacuated. ,11 team members for 3 hours,Fellwalking,Bracken Hause,NY323093
Incident Report #44 2022,"Wednesday, 22 June, 2022 - 17:29",A man was unable to continue his walk complaining of hip and knee pain. Examination also revealed a concerning cardiac issue so he was evacuated by air ambulance,15 team members for 5 hours,Fellwalking,The Band,NY263058
Incident Report #43 2022,"Monday, 20 June, 2022 - 18:25",A man was unable to continue his walk after his ankle became very painful. He was stretchered from the fell,"4 team members, plus Kendal MRT",Fellwalking,The Band,NY253062
Incident Report #42 2022,"Saturday, 18 June, 2022 - 13:20","A man collapsed at Belle Knotts. With the team still attending the previous incident, an air ambulance and Kendal MRT were called to assist.

 

The man was airlifted to hospital","10 team members for 2.5 hours, plus Kendal MRT",Fellwalking,Belle Knotts,NY290084
Incident Report #41 2022,"Saturday, 18 June, 2022 - 11:34",A male became unwell in Stickle Ghyll. He was treated and evacuated ,10 team members for 2 hours,Fellwalking,Stickle Ghyll,NY289071
Incident Report #40 2022,"Monday, 13 June, 2022 - 12:23",A man became unwell while climbing Mark Gate. He was treated by team members and evacuated to Carlisle Infirmary by Coastguard helicopter,"10 team members for 2.5 hours, plus Kendal MRT",Fellwalking,Mark Gate,NY289066
Incident Report #39 2022,"Sunday, 12 June, 2022 - 15:20","A woman slipped and sustained suspected fractures to her lower leg

 

She was treated and evacuated by stretcher and transported to hospital",11 team members for 2 hours,Fellwalking,Stickle Tarn,NY290070
Incident Report #38 2022,"Sunday, 5 June, 2022 - 14:06",A woman sustained a suspected ankle fracture when she slipped. The alarm was raised by another walker. She was treated and evacuated ,"10 team members for 4.5 hours, plus Kendal MRT",Fellwalking,Eagle Crag,NY2981008430
Incident Report #37 2022,"Tuesday, 31 May, 2022 - 12:15",A man suffered an ankle injury. He was treated and evacuated by stretcher,15 team members for 3 .5 hours,Fellwalking,Tongue Ghyll,NY348110
Incident Report #36 2022,"Sunday, 29 May, 2022 - 16:34",A woman sustained a dislocated knee when she slipped. She was treated and evacuated,16 team members for 1.5 hours,Fellwalking,Rydal Cave,NY355058
Incident Report #35 2022,"Thursday, 26 May, 2022 - 20:23","A three people became lost near Brownrigg Moss, Grasmere. They were located and walked down",11 team members for 2 hours,Fellwalking,Brownrigg Moss,NY298104
Incident Report #34 2022,"Saturday, 14 May, 2022 - 14:10",A young boy was reported as having separated from his group on their return from Hellvellyn to Grasmere. Initial enquiries were being made when we were notified by police that he had turned up safely in Patterdale,2 team members for 30 minutes,Fellwalking,Tongue Ghyll,NY347106
Incident Report #33 2022,"Saturday, 14 May, 2022 - 13:08",A man slipped on Red Screes and suffered a suspected lower leg fracture. He was treated by team members and evacuated,10 team members for 2.5 hours,Fellwalking,Red Screes,NY398082
Incident Report #32 2022,"Tuesday, 10 May, 2022 - 15:53",A woman sustained a fractured tibia and fibula when she slipped. She was treated by team members and evacuated by stretcher,14 team members for 3 hours,Fellwalking,Pike Howe,NY288069
Incident Report #31 2022,"Monday, 9 May, 2022 - 10:06",An rare pre-lunch call to a male who had tripped and sustained a fractured ankle. We did our stuff and evacuated him by stretcher to a waiting ambulance,11 team members for 2 hours,Fellwalking,Stickle Tarn path,NY293065
Incident Report #30 2022,"Tuesday, 3 May, 2022 - 15:41",A woman reported having received a message from her boyfriend saying that he and his father where lost on Dove Crag and the father had fallen and injured his ankle. A search was organised but called off when they managed self-evacuate to Patterdale ,"10 team members for 1.5 hours, plus Patterdale MRT",Fellwalking,Dove Crag,NY370108
Incident Report #29 2022,"Sunday, 1 May, 2022 - 13:56","A man was reported as unconscious near Wall End Farm, Langdale. We attended, along with NWAS. He was treated and taken to hopsital",10 team members for 1.5 hours,Fellwalking,Wall End,NY282055
Incident Report #28 2022,"Saturday, 30 April, 2022 - 14:27",A woman slipped and sustained an ankle injury. She was treated and evacuated by stretcher ,NA,Fellwalking,Helm Crag,NA
Incident Report #27 2022,"Sunday, 24 April, 2022 - 14:17",A man tripped and sustained a fracture/dislocated shoulder. He was treated by team members and evacuated by stretcher,11 team members for 3 hours,Fellwalking,Silver How,NY324065
Incident Report #26 2022,"Saturday, 23 April, 2022 - 12:27",A man became cragfast on Jack's Rake. The team was responding when we were made aware that some climbers had assisted him to the top and pointed him in the direction of a safe way down,12 team members for 0.5 hours,Scrambling,Jack's Rake,NY285079
Incident Report #25 2022,"Thursday, 21 April, 2022 - 09:17","A woman slipped and sustained a suspected fractured tibia

She was treated and stretchered from the hill and passed to NWAS for ongoing transport to hospital",7 team members for 2 hours,Fellwalking,Above Rydal Cave,NY353055
Incident Report #24 2022,"Sunday, 17 April, 2022 - 13:38","A woman slipped while walking and sustained a lower leg injury. She was treated and evacuated from the hill, making their own way to hospital",8 team members for 2 hours,Fellwalking,Wray Ghyll,NY326074
Incident Report #23 2022,"Wednesday, 23 March, 2022 - 13:52",Two team members living local to an incident in Coniston MRT area assisted when a woman tumbled from the path on steep ground at Colwith Bridge. She sustained serious injuries and was flown to Preston hospital by air ambulance,"2 team members for 3 hours, plus Coniston MRT",Fellwalking,Colwith Bridge,NY332030
Incident Report #22 2022,"Tuesday, 22 March, 2022 - 17:54","A man was reported as suffering from severe abdominal pains and repeated vomiting near Angle Tarn. The team set off, along with Keswick MRT from the north. He was airlifted off by a Coastguard helicopter and his friends were recovered to Seathwaite by Keswick team members",13 team members for 3 hours,Fellwalking,Angle Tarn,NY245078
Incident Report #21 2022,"Monday, 21 March, 2022 - 12:40","A woman slipped on the lake shore after having been swimming in Grasmere

 

She sustained a dislocated shoulder, She was treated by team members and assisted to the road from where she was transferre to hospital by ambulance",8 team members for 2.5 hours,Swimming,Grasmere Lake shore,NY334064
Incident Report #20 2022,"Friday, 11 March, 2022 - 13:05",A man sustained a serious ankle injury in a slip. The ankle was fractured and dislocated. An air ambulance was requested to assist with a rapid evacuation to hospital,17 team members for 225 hours,Fellwalking,Helm Crag,NY3209009220
Incident Report #19 2022,"Saturday, 5 March, 2022 - 11:32",A woman slipped and sustained a lower leg injury near Low Pike. She was treated by team members and evacuated by stretcher,17 team members for 2 hours,Fellwalking,Low Pike,NY3733007830
Incident Report #73 2022,"Sunday, 27 February, 2022 - 18:25",A woman reported her husband and son overdue from a walk to Pike O'Blisco. Initial investigations were being carried out when the returned to their parked car,2 team members for 2 hours,Fellwalking,Pike O'Blisco,NY271042
Incident Report #18 2022,"Monday, 21 February, 2022 - 16:20",A woman slipped and sustained a lower leg injury. She was treated by team members and evacuated from the hill,9 team members for 2 hours,Fellwalking,Loughrigg,NY244049
Incident Report #17 2022,"Saturday, 5 February, 2022 - 12:02",T'was a windy and very wet day when a man slipped and sustained a fractured lower leg when he slipped just below the summit of Loughrigg. He was treated by team members and evacuated by stretcher. An air ambulance that was dispatched by NWAS had to turn back due to the weather,12 team members for 2 hours,Fellwalking,Loughrigg,NY3496005180
Incident Report #16 2022,"Saturday, 22 January, 2022 - 17:52",Two men called for help when they became benighted on Shelter Crag. They were located via SARLOC and then by team members who escorted them dowm,5 team members for 4.75 hours,Fellwalking,Shelter Crag,NY249075
Incident Report #15 2022,"Saturday, 22 January, 2022 - 12:29","A woman took a tumble, hitting her head and causing a nasty wound. The team was called. The woman continued to walk down with assistance and team members met her and assisted",10 team members for 2.5 hours,Fellwalking,Thorn Crag,NY282072
